id_soc,tour_id,n_trips_tour,n_nonhome,n_nonmandatory,n_care,time_tour_min,tour_chain,paradas_intermedias_tour
1,1,2,1,0,0,20,0,0
3,1,2,1,1,1,40,0,0
3,2,2,1,1,1,40,0,0
4,1,2,1,0,0,40,0,0
6,1,2,1,0,0,10,0,0
7,1,2,1,0,0,10,0,0
10,1,2,1,1,1,20,0,0
10,2,2,1,1,1,50,0,0
12,1,2,1,0,0,20,0,0
15,1,2,1,0,0,40,0,0
16,1,2,1,0,0,20,0,0
17,1,2,1,0,0,31,0,0
18,1,2,1,0,0,55,0,0
19,1,2,1,0,0,20,0,0
20,1,2,1,0,0,120,0,0
21,1,2,1,1,0,50,0,0
24,1,2,1,0,0,240,0,0
25,1,2,1,1,0,50,0,0
26,1,2,1,1,0,50,0,0
27,1,2,1,1,0,55,0,0
28,1,2,1,0,0,70,0,0
29,1,2,1,0,0,35,0,0
30,1,2,1,0,0,120,0,0
32,1,1,1,0,0,60,0,0
33,1,1,1,0,0,60,0,0
34,1,2,1,0,0,51,0,0
35,1,2,1,0,0,60,0,0
36,1,1,1,0,0,15,0,0
37,1,2,1,0,0,40,0,0
38,1,2,1,0,0,45,0,0
39,1,2,1,1,0,30,0,0
39,2,2,1,0,0,35,0,0
40,1,2,1,0,0,179,0,0
41,1,2,1,0,0,169,0,0
43,1,2,1,1,0,55,0,0
46,1,2,1,0,0,50,0,0
47,1,2,1,0,0,56,0,0
50,1,2,1,0,0,152,0,0
53,1,2,1,0,0,85,0,0
54,1,2,1,1,1,25,0,0
57,1,2,1,0,0,70,0,0
59,1,2,1,1,0,60,0,0
60,1,3,2,1,0,60,1,1
61,1,2,1,0,0,90,0,0
62,1,2,1,0,0,50,0,0
63,1,1,1,0,0,10,0,0
68,1,2,1,0,0,107,0,0
70,1,1,1,0,0,40,0,0
71,1,1,1,0,0,15,0,0
73,1,2,1,0,0,40,0,0
75,1,2,1,0,0,65,0,0
76,1,2,1,1,0,100,0,0
77,1,2,1,0,0,60,0,0
79,1,2,1,0,0,80,0,0
80,1,2,1,0,0,50,0,0
82,1,2,1,0,0,50,0,0
83,1,2,1,0,0,25,0,0
84,1,2,1,0,0,68,0,0
