spec,term,beta,se,p,OR
M2 reference (>=2 criteria),mujer,0.0593247222954782,0.034458787761206,0.0851658764372184,1.06111975404387
M2 reference (>=2 criteria),desventaja,-0.290623043468184,0.0489829696958252,3.05575748902228e-09,0.747797512051808
M2 reference (>=2 criteria),mujer:desventaja,0.304568600290322,0.0509134266507957,2.26718505396209e-09,1.35603988159346
M2 reference (>=2 criteria),hay_menores12,0.181850070576365,0.0405893150680335,7.52628246882053e-06,1.19943434989749
M2 reference (>=2 criteria),mujer:hay_menores12,0.364479422289016,0.0450965937924146,6.98362335584706e-16,1.43976430382083
>=1 criteria (78.8% pop.),mujer,-0.0186288959293297,0.0458108314862385,0.684273748777124,0.981543549469693
>=1 criteria (78.8% pop.),desventaja,-0.277098617837087,0.0459013579573571,1.61923526921997e-09,0.757979743101709
>=1 criteria (78.8% pop.),mujer:desventaja,0.226014249803293,0.0507727608105628,8.60650673360983e-06,1.2535935286121
>=1 criteria (78.8% pop.),hay_menores12,0.176030212218767,0.0406071459539233,1.4700447371278e-05,1.19247408539439
>=1 criteria (78.8% pop.),mujer:hay_menores12,0.372706060722759,0.0452342822323405,1.91318623240016e-16,1.45165757793555
>=3 criteria (9.0% pop.),mujer,0.11263307793746,0.0326526153384094,0.000563735708114177,1.11922119065028
>=3 criteria (9.0% pop.),desventaja,-0.207063289423448,0.090708374132422,0.0224637224768897,0.812968196070933
>=3 criteria (9.0% pop.),mujer:desventaja,0.374123699380639,0.0939975118613363,6.92880935878574e-05,1.45371696322324
>=3 criteria (9.0% pop.),hay_menores12,0.171670454968296,0.0404970543061442,2.26150607949654e-05,1.18728650436849
>=3 criteria (9.0% pop.),mujer:hay_menores12,0.379297954926344,0.0448070206470227,2.86156248380577e-17,1.46125836001373
